Lambda1,Lambda2,Lambda3,total_cost,X1,X2,Z1,Z2,R_Z_opt,R,R(Z)_max
0.0,0.0,1.0,0.07224993015993503,-0.5513071513549193,-0.7491861213198814,1.328456819204705,-0.23251574404274755,1.5609725632474527,0.19787896996496213,3.0738595774644244
0.0,0.0,1.0,0.07224993015993503,0.2136398945182767,-0.4096908195221258,-0.7403662764936372,-0.8742021427490557,0.13383586625541855,0.6233307140404025,3.0738595774644244
0.0,0.0,1.0,0.07224993015993503,0.689160686683786,-0.5024449579673882,-0.944398943793638,0.5106559657223456,-1.4550549095159835,1.1916056446511742,3.0738595774644244
0.0,0.0,1.0,0.07224993015993503,-0.753662468036808,-0.44234890347094313,-0.8929592099871579,-0.28457840618900193,-0.608380803798156,-0.3113135645658649,3.0738595774644244
0.0,0.0,1.0,0.07224993015993503,0.8540640877944079,0.36854259008750545,2.1006446580425373,-0.9732149194218873,3.0738595774644244,0.48552149770690245,3.0738595774644244
0.0,0.2,1.0,0.16639107405694986,-0.5513071513549193,-0.7491861213198814,1.2317973415133163,-0.3374402306184309,1.5692375721317473,0.19787896996496213,2.7073158453097355
0.0,0.2,1.0,0.16639107405694986,0.2136398945182767,-0.4096908195221258,-0.6640702356525087,-0.965571593374138,0.30150135772162934,0.6233307140404025,2.7073158453097355
0.0,0.2,1.0,0.16639107405694986,0.689160686683786,-0.5024449579673882,-0.8366101157337837,0.5392705324266257,-1.3758806481604093,1.1916056446511742,2.7073158453097355
0.0,0.2,1.0,0.16639107405694986,-0.753662468036808,-0.44234890347094313,-0.7948550495950285,-0.280177230011007,-0.5146778195840216,-0.3113135645658649,2.7073158453097355
0.0,0.2,1.0,0.16639107405694986,0.8540640877944079,0.36854259008750545,1.8938567390792906,-0.8134591062304446,2.7073158453097355,0.48552149770690245,2.7073158453097355
0.0,0.4,1.0,0.25636261846401553,-0.5513071513549193,-0.7491861213198814,1.1984471994629844,-0.429601774358949,1.6280489738219335,0.19787896996496213,2.4759840587885416
0.0,0.4,1.0,0.25636261846401553,0.2136398945182767,-0.4096908195221258,-0.6161106743728795,-1.0379756285846378,0.4218649542117583,0.6233307140404025,2.4759840587885416
0.0,0.4,1.0,0.25636261846401553,0.689160686683786,-0.5024449579673882,-0.7972615403067823,0.5678861979836284,-1.3651477382904107,1.1916056446511742,2.4759840587885416
0.0,0.4,1.0,0.25636261846401553,-0.753662468036808,-0.44234890347094313,-0.7413036195988882,-0.2705847623194579,-0.47071885727943036,-0.3113135645658649,2.4759840587885416
0.0,0.4,1.0,0.25636261846401553,0.8540640877944079,0.36854259008750545,1.7831766714505985,-0.692807387337943,2.4759840587885416,0.48552149770690245,2.4759840587885416
0.0,0.6,1.0,0.3591802359625684,-0.5513071513549193,-0.7491861213198814,1.1783297562199084,-0.4936637072256001,1.6719934634455085,0.19787896996496213,2.3198917937710233
0.0,0.6,1.0,0.3591802359625684,0.2136398945182767,-0.4096908195221258,-0.5653908283725717,-1.083512050347109,0.5181212219745372,0.6233307140404025,2.3198917937710233
0.0,0.6,1.0,0.3591802359625684,0.689160686683786,-0.5024449579673882,-0.7765283759921134,0.5854820140751277,-1.3620103900672411,1.1916056446511742,2.3198917937710233
0.0,0.6,1.0,0.3591802359625684,-0.753662468036808,-0.44234890347094313,-0.7132410785183079,-0.268937042680118,-0.4443040358381899,-0.3113135645658649,2.3198917937710233
0.0,0.6,1.0,0.3591802359625684,0.8540640877944079,0.36854259008750545,1.7096808539798836,-0.6102109397911396,2.3198917937710233,0.48552149770690245,2.3198917937710233
